timestamp,member,present
1539291278,user3,"['user8', 'user1', 'user0', 'user7', 'user4', 'user6']"
1539291514,user1,"['user5', 'user0', 'user4', 'user2', 'user7', 'user8', 'user9', 'user6']"
1539292425,user0,"['user7', 'user5', 'user3', 'user9', 'user4']"
1539293267,user3,"['user4', 'user0', 'user2', 'user7', 'user6']"
1539293442,user9,['user8']
1539293609,user3,"['user6', 'user0', 'user7', 'user4']"
1539293634,user3,"['user0', 'user6', 'user5', 'user8']"
1539293848,user9,"['user6', 'user4', 'user0', 'user7']"
1539294307,user9,"['user6', 'user1', 'user0']"
1539294408,user6,"['user1', 'user4', 'user0', 'user7', 'user5', 'user2']"
1539295361,user6,"['user0', 'user1', 'user4', 'user3', 'user9', 'user2']"
1539295965,user7,"['user8', 'user2']"
1539296181,user5,"['user8', 'user6']"
1539296550,user2,"['user9', 'user1', 'user4', 'user3']"
1539296864,user1,['user8']
1539297029,user4,['user7']
1539297230,user0,"['user9', 'user4']"
1539297320,user9,"['user7', 'user6', 'user1', 'user4']"
1539297594,user7,"['user3', 'user4']"
1539298253,user2,"['user9', 'user7', 'user0', 'user6', 'user3', 'user8', 'user4']"
1539298947,user2,"['user6', 'user4', 'user9', 'user7']"
1539299756,user7,['user8']
1539300553,user1,"['user4', 'user7']"
1539300995,user5,"['user0', 'user1', 'user7', 'user8']"
1539301947,user8,"['user3', 'user6', 'user4', 'user5', 'user2']"
1539302286,user1,"['user2', 'user4', 'user6']"
1539302721,user0,"['user7', 'user9', 'user1']"
1539303095,user8,"['user5', 'user2', 'user1']"
1539303236,user9,"['user0', 'user3', 'user7', 'user8']"
1539303264,user2,"['user5', 'user8', 'user7', 'user4']"
1539303968,user2,"['user1', 'user4', 'user6']"
1539304905,user6,"['user9', 'user1', 'user2']"
1539305344,user2,"['user4', 'user8', 'user6']"
1539305934,user4,"['user0', 'user8', 'user2']"
1539306351,user7,"['user9', 'user3', 'user1', 'user2', 'user6']"
1539306800,user0,"['user3', 'user4']"
1539307566,user0,"['user2', 'user1', 'user6', 'user4']"
1539307799,user2,"['user8', 'user4', 'user5', 'user9', 'user6']"
1539308382,user2,"['user4', 'user0', 'user9']"
1539308962,user6,"['user3', 'user7', 'user1', 'user2']"
1539309801,user8,"['user9', 'user3', 'user5', 'user0', 'user6', 'user2']"
1539310468,user7,"['user3', 'user0', 'user4', 'user6', 'user8']"
1539310916,user6,"['user3', 'user9', 'user1', 'user5', 'user7', 'user2']"
1539311256,user5,"['user1', 'user0']"
1539311826,user3,"['user6', 'user7', 'user0', 'user8', 'user5']"
1539312562,user2,['user3']
1539313373,user4,"['user0', 'user1']"
1539313652,user5,"['user0', 'user6', 'user1', 'user2']"
1539313945,user2,"['user8', 'user7', 'user9', 'user4']"
1539314261,user5,['user6']
1539315216,user6,"['user7', 'user5', 'user2']"
1539315572,user6,"['user7', 'user1', 'user4', 'user3', 'user2']"
1539316172,user1,"['user8', 'user3']"
1539316215,user4,"['user8', 'user2']"
1539316824,user5,"['user7', 'user1', 'user4', 'user6', 'user9', 'user8', 'user0', 'user3']"
1539317824,user7,"['user8', 'user2', 'user4', 'user5']"
1539317997,user9,"['user8', 'user5']"
1539318892,user2,"['user0', 'user8', 'user6', 'user1', 'user4']"
1539319763,user5,"['user3', 'user4', 'user6', 'user8']"
1539320233,user3,"['user2', 'user5', 'user6']"
1539320511,user1,"['user0', 'user3', 'user5', 'user8', 'user6']"
1539321221,user1,"['user9', 'user0', 'user3']"
1539321718,user6,"['user5', 'user3', 'user4', 'user2']"
1539321934,user0,"['user2', 'user1', 'user6', 'user4']"
1539322922,user2,"['user1', 'user7', 'user0', 'user6', 'user4']"
1539323889,user7,"['user8', 'user1', 'user2', 'user4']"
1539324078,user4,"['user5', 'user2', 'user9', 'user7']"
1539324678,user0,"['user8', 'user4']"
1539325299,user3,"['user5', 'user7', 'user0', 'user4', 'user2', 'user6']"
1539325655,user1,"['user4', 'user8']"
1539325977,user7,"['user6', 'user8', 'user9', 'user3', 'user2']"
1539326389,user7,"['user3', 'user5', 'user2', 'user4', 'user8']"
1539326778,user8,"['user7', 'user3', 'user2']"
1539327060,user6,"['user9', 'user2', 'user7']"
1539327115,user6,"['user1', 'user3', 'user0', 'user2']"
1539327818,user7,"['user0', 'user9', 'user1', 'user4']"
1539327986,user3,"['user7', 'user8', 'user9', 'user1', 'user5', 'user6']"
